replicate_id,total_reads
BHY_c908R1,28166287
HT1197-311Cas9_RepA_p6_batch3,30832076
HT29-311Cas9_RepA_p6 AVANA_batch3,34301572
IGR-39-311Cas9_RepA_p5_batch2,46797288
K562-311CAs9-RepA-p6_batch3,74970584
SNU1076-311cas9_RepA_p6_batch3,27995040
AML193-311cas9_RepA_p6_batch3,41511610
SiHa-311cas9_RepA_p6_batch3,52162223
U893_c903R1,44406834
A172_c907R1,33413333
HCC78_c906R3,36915991
TT1_c908R1,104349730
EBC1-311cas9_RepA_p6_batch3,49975935
EBC1_c906R1,51654243
RCM1_c903R1,34776782
YKG1-311Cas9_RepA_p6_batch3,52343894
MB436_c903R1,56160463
MDAMB436-311cas9 Rep A p5_batch2,28464101
T98G-311Cas9_RepA_p5_batch3,34053753
T98G_c907R1,36711355
JHH2-311Cas9_RepA_p4_batch3,25399228
KMS27-311Cas9_RepA_p6_batch3,60871155
UACC-257 -311Cas9_RepA_p5_batch2,18704392
C32-311Cas9_RepA_p6_batch3,55748343
SNU16-311cas9-RepA-p6_batch3,34489266
SNU16_c908R1,47383298
EPLC-272H-311Cas9 Rep A p6_batch2,40918920
EPLC27_c906R1,39967906
JHOS-4-311cas9 Rep A p4_batch2,53107369
JHOS4_c905R1,35517942
MC116-311cas9_RepA_p6_batch3,55914685
H1975_c906R4,37069475
KMS-26-311Cas9_RepA_p6_batch2,37151869
NCIH1975-311Cas9-RepA-p6_batch3,31352274
LN-235-311Cas9_RepA_p5_batch3,62970177
NCI-H1437-311Cas9 Rep A p5_batch3,43899389
TM-31-311Cas9_RepA_p5_batch3,51438315
BC-3C-311Cas9_RepA_p6_batch3,44627681
LCLC-97TM1-311Cas9_RepA_p6_batch3,48450107
LCLC97_c906R1,32627274
LN229_c907R1,30283315
P8902_c904R1,40761451
PATU8902-311Cas9-RepA-p6_batch3,20455833
SLR26-311cas9_RepA_p6_batch3,41522456
TTC709-311Cas9-RepA-P5_batch4,31658026
M07E-311cas9-RepA-p6_batch4,32125363
MIA Paca-2-311Cas9 Rep A p6_batch3,73517021
MIAPac_c904R1,40589311
KYM1-311cas9-RepA-p6_batch4,32085195
KYO1-311Cas9_RepA_p6_batch3,39015671
PE_CA-PJ-34Clone C12-311Cas9_RepB_p5_batch2,56065386
TE6-311cas9_RepA_p6_batch3,42044800
COV644-311cas9 Rep A p4_batch2,59956377
HS746T-311Cas9_RepA_p6_batch3,28660803
RVH421-311Cas9_RepA_p5_batch3,44237358
SF126_c907R1,47999968
PECAPJ15-311Cas9_RepA_p6_batch3,40089957
PECAPJ_c908R1,25034467
SNU-1041-311Cas9_RepA_p6_batch3,40439320
JHH1-311Cas9_RepA_p5_batch3,44822532
KNS42-311Cas9_RepA_p4_batch3,56282186
KNS42_c907R1,22153130
MDAMB157-311cas9 Rep A p4_batch2,29217903
HCC1806-311cas9_RepA_p5_batch3,48327057
HCC180_c904R1,28358250
LCLC-103H-311Cas9 Rep B p6_batch3,69964319
SNU-201-311Cas9_RepA_p6_batch2,54500770
FU97-311Cas9_RepA_p6_batch3,30929485
Hs 944.T-311Cas9_RepA_p6_batch3,48390745
YD8-311Cas9_RepA_p6_batch3,21084411
KYSE-520-311Cas9_RepA_p6_batch3,39191314
KYSE52_c908R1,50405686
LN340-311Cas9_RepA_p6_batch3,47463931
NCI-H441-311Cas9 Rep A p6_batch3,31587311
JL-1-311Cas9_RepA_p6_batch4,22768888
NCI-H211-311cas9_RepA_p6_batch3,26995020
OVMANA-311Cas9_RepA_p5_batch3,43373606
TE-1 -311Cas9_RepA_p5_batch3,51153934
786O-311Cas9_RepA_p6_batch2,44925518
NCIH28-311Cas9_RepA_p6_batch3,39260435
SW620-311Cas9_RepA_p6_batch2,60683091
SW620_C902R1_P1D14,42670307
JJN-3-311Cas9_RepA_p5_batch3,37428844
SUIT-2-311Cas9_RepA_p5_batch3,33729957
SUIT2_c904R1,39506269
A2780-311cas9 Rep A p6_batch2,35013702
A2780_c905R1,39273396
Raji-311cas9_RepA_p6_batch3,43003696
SF268-311cas9_RepA_p6_batch3,20614659
SU8_c907R1,24099586
KMS18-311cas9_RepA_p6_batch3,27323031
SU5_c907R1,31309459
WM1799-311Cas9_RepA_p5_batch3,42815644
CORL23-311cas9_RepA_p4_batch3,14456615
L23_c906R1,35732093
OVTOKO-311Cas9_RepA_p5_batch2,53832081
H1355_c906R1,32961934
HCC44-311Cas9-RepA-p6_batch3,28136275
SKMES1-311cas9_RepA_p5_batch3,49559451
SKMES1_c906R1,41738816
HCC70_c903R1,43303309
HuH-6-311Cas9_RepA_p6_batch3,41794633
LN443-311Cas9_RepA_p6_batch3,46171590
LN464-311Cas9_RepA_p6_batch3,39682437
SW-1573-311Cas9_RepA_p4_batch3,53411839
SW1573_c906R1,40187202
SW948-311Cas9_RepB_p6_batch3,45694462
A549-311Cas9 Rep A p5_batch3,29034476
A549_c906R2,30519663
SNU-1066-311Cas9_RepA_p6_batch3,69125218
SNU-503-311Cas9 Rep A p3_batch2,57103601
KMRC1-311Cas9_RepA_p5_batch2,45888543
